ID чека,Тип,Дата/Час,Фіскальний номер,Тип оплати,Сума (грн),Фіскальний номер ПРРО,Локальный номер ПРРО,Штрихкод,Шапка,Службова інформація,Знижка на чек
000ca8bb-6075-4504-bd9b-311d4153cec0,SELL,2022-12-16 20:03:29,yVuscUKni9Y,Готівка,160,4000330381,1,,,,
00154415-8abf-4a76-aaa5-7bcaf6ee6c2d,SELL,2022-12-29 20:31:46,Y9uB6ZvG8no,Картка,420,4000330381,1,,,,
00844ce3-0ffe-4b64-8737-5340854ae53c,SELL,2022-12-16 16:01:13,_ZCTl_In2PE,Картка,365,4000330381,1,,,,
00c19247-5988-4c07-8326-0508781bb80d,SELL,2022-12-03 2:55:11,rRU2gHMMmDA,Готівка,200,4000330381,1,,,,
00e51576-d2bc-466a-97df-5e29f507f28e,SELL,2022-12-18 21:29:47,FqRmC4MafIw,Готівка,185,4000330381,1,,,,
00e9d82b-ed2c-441e-bce2-f5ed6f862868,SELL,2022-12-18 20:39:06,QmvnWnEHfGY,Готівка,1050,4000330381,1,,,,
012b4f59-b091-4876-962e-732f7dc16714,SELL,2022-12-16 21:22:57,A5scuSIaUR8,Готівка,120,4000330381,1,,,,
01485b41-9d5d-4156-8759-70c21d434eed,SELL,2022-12-18 20:46:45,mrtbfGGsxPw,Готівка,75,4000330381,1,,,,
016da062-4e4a-430f-9603-a5ffd04b312d,SELL,2022-12-03 2:48:57,OqDgda9ilRQ,Готівка,110,4000330381,1,,,,
01a56e81-5ff1-47cc-8ab9-20e5ccb426f4,SELL,2022-12-10 22:43:32,XsYYN_XOxD0,Готівка,6625,4000330381,1,,,,
01e86850-48f5-4c67-83c7-e1e4126773e8,SELL,2022-12-04 18:49:06,jzHLbP37_uU,Готівка,150,4000330381,1,,,,
02270eb6-2bb2-40d7-84ea-24d8d9b9d83d,SELL,2022-12-10 23:14:56,pFgfUm_8nko,Готівка,270,4000330381,1,,,,
02e00dbc-b90a-446f-a89f-1ab1ec040001,SELL,2022-12-23 23:35:34,oy2HM6CxlSY,Готівка,625,4000330381,1,,,,
032df7d6-3458-4277-97fd-f44fb2c0f2a1,SELL,2022-12-23 22:09:06,GaZm_VmD48k,Готівка,170,4000330381,1,,,,
03440910-e707-4b6a-b1a8-aec94f717d92,SELL,2022-12-18 22:59:10,g8yBzbidGKc,Готівка,180,4000330381,1,,,,
039a75b5-0262-4391-ae32-8865af76ae9a,SELL,2022-12-04 18:46:22,Bqmzgff3fSc,Готівка,325,4000330381,1,,,,
045815a7-8bf1-42a6-aec8-51ebdc068d96,SELL,2022-12-23 22:11:38,Gir2QtMUm5E,Готівка,215,4000330381,1,,,,
045fd351-4923-4b44-af05-6241b16471f7,SELL,2022-12-11 22:27:25,tph3yfDZJ3w,Картка,325,4000330381,1,,,,
046431b9-4e82-4bf8-9a85-06713f3ae1fe,SELL,2022-12-16 20:48:19,UsSyyUhWA5M,Готівка,280,4000330381,1,,,,
04886020-b926-422d-8e39-aad196d3d223,SELL,2022-12-03 2:30:56,mCaRBkQWX6I,Готівка,85,4000330381,1,,,,
049a0424-1ce1-4c51-b0a7-0fb443800be0,SELL,2022-12-18 22:57:32,p3h19gb4w5s,Готівка,485,4000330381,1,,,,
049ce3c0-79bc-4ffa-bbdb-782a8308785c,SELL,2022-12-03 2:13:34,i3AiXgUSjYo,Готівка,280,4000330381,1,,,,
